Month,folder_id,Folder,Articles,Article thường,Article thương mại,A- Build Top,A- Non- Build Top,Pageviews,Pageviews (-$),Pageviews ($),P- Ex-Direct,P- Ex-Google,P- Ex-Social,P- In-Home,P- In-Folder,P- In-Detail,P- In-Other,P- Listing,P- Detail,P- DO,P- OV,P- Unknown,P- Mobile,P- PC,P- App,P- Tablet
9/2025,1001012,Ý kiến,206,206,0,1,205,"4,213,127",240079,3973048,200255,1454197,196137,681683,205578,443674,955929,444180,3768947,3906369,300905,5853,2739203,996856,451212,24342
10/2025,1005628,Bất động sản,235,154,81,69,166,"6,029,969",486239,5543730,334578,774372,306092,2027203,373654,447394,1733161,1101923,4928046,5652181,374970,2818,2754719,2628585,610860,30201
10/2025,1002966,Đời sống,359,192,167,33,326,"10,483,737",697535,9786202,636661,2624469,535910,2174908,503857,964592,2753106,1861362,8622375,9347018,1124552,12167,5888501,3832566,696921,60525
10/2025,1003231,Du lịch,212,178,34,34,178,"5,166,320",378280,4788040,298454,1652608,93652,1207033,261304,422943,1184261,577283,4589037,4577582,583184,5554,2595964,2125183,406001,33347
10/2025,1003888,English,1159,1104,55,0,1159,"7,705,466",224718,7480748,932816,4326425,163927,301323,99288,405025,1451289,1377167,6328299,1969894,5553971,181601,5688323,1403029,493082,83236
10/2025,1002691,Giải trí,483,441,42,115,368,"12,997,878",1010624,11987254,691721,2677868,248617,3514471,939143,1577063,3252540,2021783,10976095,10904253,2077550,16075,6672148,5123077,1105064,88711
10/2025,1003497,Giáo dục,298,222,76,75,223,"9,160,487",485951,8674536,545573,3038363,590932,2234287,241855,710228,1752137,759848,8400639,8559871,594103,6513,5634756,2779732,694394,46823
10/2025,1003450,Góc nhìn,33,33,0,1,32,"2,148,606",172116,1976490,80630,96241,51987,634256,69280,115027,1095574,679355,1469251,1939481,207555,1570,683603,955479,496594,11805
10/2025,1006219,Khoa học công nghệ,0,0,0,0,0,"13,348,000",1259045,12088955,696405,3190096,349740,3565307,772127,1168445,3489683,0,0,11927874,1408599,11527,7259194,4688474,1312035,79868
10/2025,1003159,Kinh doanh,736,384,352,162,574,"14,402,588",1163833,13238755,1332505,2214130,557268,4432197,896319,873438,4022879,2496262,11906326,13142603,1249942,10043,7164669,5759855,1408337,62144
10/2025,1004492,Mới nhất,0,0,0,0,0,"4,785,294",412299,4372995,303293,309767,121,582084,152533,513959,2921735,4785294,0,4193713,588730,2851,946424,2086666,1731443,12538
10/2025,1002835,Ngôi sao,1571,1503,68,1397,174,"47,339,051",1993189,45345862,9272238,8682887,1512352,9226934,1384428,7166295,9968710,18226946,29112105,39733094,7561918,44039,28923357,17537422,498343,271083
10/2025,1001007,Pháp luật,377,377,0,121,256,"19,661,929",1334560,18327369,1142175,3327999,677666,5338456,1573500,2217212,5247049,3236391,16425538,17514805,2134302,12822,11459355,6015996,2081977,92437
10/2025,1005858,Spotlight,0,0,0,0,0,"3,870",419,3451,146,36,17,873,444,656,1646,3870,0,3600,265,5,2051,1804,0,10
10/2025,1003750,Sức khỏe,993,390,603,68,925,"9,331,233",607650,8723583,490565,2122281,250125,2359052,401294,740618,2888111,931526,8399707,8369748,953008,8477,5158369,3007975,1071729,51405
10/2025,1001014,Tâm sự,448,448,0,0,448,"10,017,700",746711,9270989,494757,1003957,49300,1958042,1586333,1672353,3191742,2848077,7169623,8848596,1163120,5984,5151200,3925996,881257,54070
10/2025,1001002,Thế giới,794,794,0,496,298,"52,993,675",4499329,48494346,2711257,5295100,612312,16505064,5324780,6043029,16170847,13425769,39567906,44556801,8392849,44025,30671122,16839221,5197495,259302
10/2025,1002565,Thể thao,692,624,68,189,503,"21,474,352",1725838,19748514,1533016,4157561,122836,4581115,2856210,2052672,6083107,7668277,13806075,18812653,2646711,14988,12649630,6936937,1759408,96357
10/2025,1001005,Thời sự,498,474,24,356,142,"28,643,377",2027555,26615822,1794323,3909738,1111785,10189084,1529204,2378675,7554632,4306509,24336868,26585413,2041341,16623,16059153,9496477,2939960,132844
10/2025,1001011,Thư giãn,230,230,0,0,230,"7,462,843",274880,7187963,317117,3147624,18887,470220,120111,2575523,774302,271343,7191500,7161882,296479,4482,5844979,1326643,251584,38133
10/2025,1006255,VnE-GO,0,0,0,0,0,"8,989,376",538462,8450914,323939,217396,123638,3536166,345892,583933,3822575,0,0,8250519,733809,5048,4187863,4030982,722113,30161
10/2025,1000000,VnExpress,0,0,0,0,0,"172,903,727",12080357,160823370,77447468,20089616,59175,25727,1364512,6796994,66549038,172903727,0,153790477,19011713,101537,83551883,62867613,25745921,610887
10/2025,1001006,Xe,296,247,49,25,271,"10,013,021",816500,9196521,628165,3049320,62887,1554493,890581,716927,3067950,4358851,5654170,9379611,627354,6056,5564751,3831783,559115,44501
10/2025,1001012,Ý kiến,250,248,2,0,250,"5,618,115",291729,5326386,228680,2244564,374892,767575,232964,577422,1108614,466850,5151265,5245168,369734,3213,3876430,1201842,507510,30803
11/2025,1005628,Bất động sản,243,136,107,40,203,"4,598,871",372637,4226234,240896,684097,199152,1449732,323061,339872,1331427,1020076,3578795,4290498,306529,1844,2029996,2063963,474333,24167
